caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftcruz,ftsanders,ftpolice,ftfem,fttrans,ftmuslim,ftsci,reg,demcand,repcand,vote16dt,presjob,lazyb,lazyw,lazyh,lazym,violentb,violentw,violenth,violentm,econnow
958,44,93,87,90,100,4,32,3,57,91,17,66,97,88,1,3,6,9,3,4,4,4,4,4,4,4,4,4
959,69,89,95,95,99,3,50,53,57,99,95,98,100,100,2,3,2,9,3,4,3,5,5,4,4,5,5,3
960,59,56,52,52,63,39,54,52,53,48,63,72,50,56,1,5,11,9,4,5,5,5,5,3,3,3,3,3
961,32,55,69,55,52,51,50,51,74,68,61,51,51,53,1,3,9,9,3,5,5,5,5,4,4,5,5,2
962,38,100,5,100,5,2,1,5,31,100,3,49,4,10,3,1,10,1,3,4,3,4,3,1,3,1,3,4
963,89,71,89,99,98,0,90,6,99,50,5,98,70,100,1,3,11,9,2,2,2,4,4,3,3,3,3,5
964,80,34,71,98,22,0,100,90,75,57,97,51,68,65,2,5,11,9,4,3,3,1,2,2,2,4,1,3
965,52,52,75,67,52,3,59,34,49,64,31,37,61,91,1,1,6,9,4,4,4,5,5,4,5,5,4,2
966,50,83,52,66,89,90,89,35,41,100,6,16,13,53,3,5,11,4,7,5,5,5,3,5,5,5,1,2
967,66,68,56,67,99,3,50,25,100,50,79,87,82,94,1,3,11,1,2,5,5,5,5,4,3,4,5,2
968,89,100,40,100,100,0,30,0,95,0,95,100,100,96,1,3,11,1,3,5,1,5,5,5,1,5,5,2
969,66,100,21,100,100,1,40,1,70,29,100,100,100,100,1,3,11,1,2,4,4,4,4,4,4,4,4,3
970,68,86,78,66,100,14,60,40,81,29,89,88,79,92,1,3,8,9,3,5,5,5,5,5,5,5,5,2
971,71,97,89,94,89,1,45,24,58,90,94,91,96,87,1,3,8,1,2,5,4,5,5,4,4,4,4,3
972,51,70,92,72,68,36,41,51,63,53,28,89,53,43,2,3,11,9,4,3,4,4,3,3,3,4,3,2
973,90,79,95,88,98,50,94,75,84,94,83,90,93,100,1,1,3,9,2,5,5,5,5,5,5,5,5,2
974,93,75,75,79,81,21,81,18,71,63,70,82,82,100,1,1,8,9,2,3,3,5,5,3,3,5,5,2
975,78,99,51,100,100,7,71,0,100,0,99,100,88,92,1,3,7,9,2,5,2,5,5,4,1,4,3,2
976,90,92,52,100,100,0,59,1,100,58,97,100,92,88,1,3,11,9,2,3,4,3,4,4,1,4,3,1
977,78,64,78,70,41,75,72,66,64,75,77,57,41,84,1,1,8,1,2,4,2,3,4,4,2,3,5,2
978,0,59,62,39,41,95,2,41,0,86,41,51,51,41,1,2,6,9,7,3,5,3,4,3,4,4,2,5
979,32,100,100,84,99,2,1,3,87,75,97,85,52,51,1,3,10,3,6,5,5,5,5,5,5,5,5,5
980,85,99,16,100,100,0,0,0,100,5,90,100,100,100,1,3,7,2,2,5,5,5,5,5,4,5,5,3
981,72,63,69,73,83,1,1,1,100,65,95,65,65,98,1,3,11,3,2,2,1,5,5,2,1,4,4,3
982,97,98,55,51,52,3,97,1,0,0,52,53,0,50,2,1,11,9,2,5,5,5,3,4,1,4,2,1
983,4,50,100,50,7,94,0,95,0,84,8,1,0,21,1,5,9,9,7,5,5,5,1,4,4,4,1,5
984,0,50,50,50,30,66,6,90,0,70,10,41,10,90,1,5,4,9,7,4,4,5,5,4,4,4,1,4
985,32,86,99,48,69,99,4,2,4,100,75,78,1,94,2,5,9,4,4,1,4,4,3,2,4,2,2,4
986,10,83,100,48,89,98,3,62,25,11,47,75,1,73,1,2,9,2,7,1,4,3,2,2,5,4,1,5
987,3,84,83,90,79,98,1,69,0,100,17,9,1,93,1,5,9,2,7,5,4,5,3,5,5,5,3,4
988,76,75,62,91,81,0,31,10,100,16,68,62,39,99,1,3,11,3,3,4,3,4,5,4,4,4,3,4
989,6,100,100,100,50,48,1,998,998,89,22,31,41,80,1,5,11,2,6,3,4,3,4,4,4,4,2,5
990,56,51,50,53,54,7,6,52,58,60,50,53,50,83,3,3,8,4,4,3,3,3,3,5,5,5,5,3
991,1,98,100,100,3,1,2,94,15,49,2,1,81,71,1,5,8,9,7,5,5,5,5,5,5,5,5,4
992,79,91,76,92,97,0,72,0,56,63,97,100,91,85,1,1,6,9,2,5,5,5,5,5,5,5,5,2
993,14,88,99,95,99,95,22,88,53,84,31,99,68,99,1,5,9,2,5,5,5,5,5,5,5,5,4,3
